-0.1014,0.0312,-0.9984;
-0.117,0.039,-0.9984;
-0.1014,0.0312,-0.9906;
-0.1014,0.039,-1.0374;
-0.1092,0.0312,-0.936;
-0.1092,0.0312,-0.9984;
-0.1092,0.039,-0.9984;
-0.1248,0.0468,-0.9672;
-0.117,0.0312,-0.9984;
-0.1014,0.0234,-0.9984;
-0.117,0.039,-0.9906;
-0.1092,0.039,-0.9828;
-0.117,0.0468,-0.9828;
-0.1248,0.0624,-0.9984;
-0.1326,0.0234,-0.9984;
-0.1092,0.0156,-0.975;
-0.1014,0.0312,-0.9984;
-0.1092,0.0468,-0.9984;
-0.1092,0.0468,-0.9984;
-0.0936,0.0468,-0.9906;
-0.117,0.0468,-0.975;
-0.1014,0.0312,-1.0374;
-0.1404,0.0624,-0.9984;
-0.117,0.0468,-0.9828;
-0.117,0.0468,-1.0374;
-0.1248,0.0468,-0.975;
-0.1092,0.0624,-1.0218;
-0.1092,0.0624,-0.9906;
-0.1326,0.039,-0.9984;
-0.117,0.0624,-0.9984;
-0.117,0.039,-0.9984;
-0.117,0.0312,-0.975;
-0.117,0.039,-0.9984;
-0.117,0.0546,-0.9984;
-0.1014,0.0312,-0.9984;
-0.1248,0.0468,-0.9984;
-0.1014,0.0624,-0.9984;
-0.1326,0.0468,-0.9984;
-0.1014,0.0312,-0.9672;
-0.1326,0.0624,-0.9984;
-0.1248,0.0468,-0.9984;
-0.117,0.0312,-0.9984;
-0.117,0.0312,-1.0218;
-0.117,0.0468,-0.9906;
-0.117,0.0624,-0.9984;
-0.117,0.0468,-0.9984;
-0.1248,0.0624,-0.9984;
-0.1248,0.0624,-0.9828;
-0.1092,0.0468,-0.9984;
-0.1014,0.0312,-0.9828;
-0.1248,0.0312,-0.9984;
-0.0936,0.0468,-0.9984;
-0.1092,0.0234,-0.9906;
-0.1092,0.039,-0.9984;
-0.1092,0.039,-0.975;
-0.1014,0.0234,-0.9984;
-0.1014,0.0234,-0.9984;
-0.1092,0.0312,-0.9984;
-0.1014,0.0468,-0.9984;
-0.117,0.0312,-0.9984;
-0.1092,0.0312,-0.9984;
-0.1248,0.0312,-0.9984;
-0.1092,0.0234,-1.0296;
-0.1092,0.0624,-0.975;
-0.1248,0.0468,-0.9984;
-0.1092,0.0468,-0.9984;
-0.1248,0.0624,-0.9984;
-0.1248,0.039,-0.9984;
-0.1248,0.0468,-0.9984;
-0.1014,0.0468,-0.9984;
-0.1092,0.0624,-0.9984;
-0.1092,0.0468,-0.9984;
-0.1248,0.0468,-0.9984;
-0.1092,0.0468,-0.9906;
-0.117,0.0624,-0.9984;
-0.117,0.039,-0.9984;
-0.1014,0.0624,-0.9984;
-0.1092,0.039,-1.0218;
-0.1248,0.0624,-0.9984;
-0.1248,0.0702,-0.9984;
-0.1248,0.0624,-0.9984;
-0.1092,0.0468,-0.9984;
-0.1092,0.0468,-0.9984;
-0.1014,0.0312,-0.9984;
-0.1014,0.0312,-0.9984;
-0.1248,0.039,-0.9984;
-0.1014,0.0156,-0.9984;
-0.1092,0.0624,-0.9984;
-0.1248,0.0468,-0.9984;
-0.117,0.0624,-0.9906;
-0.1092,0.039,-0.9984;
-0.1014,0.0234,-0.9828;
-0.1326,0.0624,-0.9984;
-0.1404,0.039,-0.9984;
-0.1092,0.039,-0.9984;
-0.1248,0.0312,-0.9984;
-0.1014,0.039,-0.9984;
-0.117,0.0312,-0.9984;
-0.1092,0.0468,-0.9984;
-0.1248,0.0624,-0.9984;
-0.1092,0.0624,-0.9984;
-0.1326,0.0624,-0.9984;
-0.1014,0.0468,-0.9984;
-0.1326,0.0468,-1.0296;
-0.1014,0.0312,-0.9984;
-0.1092,0.0468,-1.0374;
-0.117,0.0468,-0.9906;
-0.1326,0.0468,-0.9984;
-0.117,0.0312,-0.9984;
-0.1014,0.0312,-0.9984;
-0.117,0.039,-0.9984;
-0.1092,0.039,-0.9984;
-0.1014,0.0312,-0.9984;
-0.1092,0.0312,-0.9828;
-0.1092,0.0624,-0.9984;
-0.1248,0.0624,-0.9984;
-0.117,0.0468,-0.9828;
-0.117,0.0156,-0.9984;
-0.117,0.0624,-0.9906;
-0.1092,0.0546,-0.9984;
-0.1248,0.0468,-0.9984;
-0.117,0.0468,-1.0374;
-0.1248,0.0468,-0.9984;
-0.1014,0.0468,-0.9984;
-0.117,0.0468,-0.9828;
-0.1092,0.0312,-0.9984;
-0.1326,0.0312,-1.0296;
-0.1326,0.0468,-0.9984;
-0.1326,0.039,-0.9984;
-0.1326,0.0624,-0.9984;
-0.1248,0.0624,-0.9906;
-0.1092,0.0624,-0.975;
-0.117,0.0312,-0.9984;
-0.117,0.0624,-0.9984;
-0.117,0.0468,-0.9828;
-0.117,0.0624,-0.9906;
-0.1014,0.0624,-0.9984;
-0.1248,0.0702,-0.9984;
-0.117,0.0624,-0.9906;
-0.1248,0.0624,-0.9984;
-0.1248,0.0624,-0.9984;
-0.1248,0.0312,-0.9984;
-0.117,0.039,-0.9984;
-0.1014,0.0312,-0.9984;
-0.1248,0.0624,-0.9984;
-0.117,0.0624,-0.9984;
-0.1014,0.0624,-0.9984;
-0.1248,0.0468,-0.9984;
-0.1248,0.039,-0.9204;
-0.1248,0.0312,-0.9984;
-0.1248,0.0624,-0.9984;
-0.1014,0.0312,-0.9984;
-0.1248,0.0468,-0.9984;
-0.1092,0.039,-0.9984;
-0.1248,0.0312,-0.975;
-0.1248,0.0468,-0.9984;
-0.1248,0.0312,-0.9984;
-0.0936,0.0312,-0.9984;
-0.1014,0.0312,-0.9828;
-0.1248,0.0468,-1.0296;
-0.1326,0.0624,-0.9984;
-0.1092,0.0312,-0.9984;
-0.117,0.0468,-0.9984;
-0.0858,0.039,-0.9984;
-0.117,0.0468,-0.9906;
-0.1092,0.0468,-0.9906;
-0.1248,0.0468,-0.9984;
-0.1014,0.0468,-0.9984;
-0.1092,0.0312,-0.9984;
-0.0936,0.0156,-0.9984;
-0.1248,0.0468,-0.9984;
-0.117,0.0312,-0.9984;
-0.1092,0.0312,-0.9984;
-0.1092,0.0624,-0.9984;
-0.1014,0.0468,-0.9984;
-0.1014,0.0468,-0.9984;
-0.1014,0.0468,-0.9984;
-0.1326,0.0468,-1.0296;
-0.1404,0.0624,-0.9984;
-0.1014,0.0312,-0.9984;
-0.1248,0.0468,-0.9984;
-0.117,0.0468,-0.9984;
-0.1092,0.0468,-0.9984;
-0.117,0.0624,-0.9984;
-0.1248,0.0312,-1.0296;
-0.1092,0.0234,-0.9906;
-0.1092,0.0468,-1.0296;
-0.1092,0.0624,-0.9984;
-0.1248,0.0624,-0.9984;
-0.1248,0.0624,-0.9984;
-0.1248,0.0468,-0.9984;
-0.117,0.0468,-0.9984;
-0.1326,0.0624,-0.9984;
-0.1248,0.0312,-0.9906;
-0.117,0.0312,-0.9906;
-0.1248,0.0546,-0.9906;
-0.1092,0.0624,-0.9984;
-0.1092,0.0468,-0.9984;
-0.1248,0.0468,-1.0296;
-0.1248,0.0468,-0.9984;
-0.1248,0.039,-0.9906;
-0.117,0.0468,-1.0218;
-0.117,0.039,-0.9984;
-0.117,0.0468,-0.9984;
-0.1014,0.0312,-1.0296;
-0.1092,0.0312,-0.9984;
-0.1248,0.039,-0.9984;
-0.1092,0.0468,-0.9984;
-0.1326,0.0624,-0.9984;
-0.1092,0.0312,-0.9984;
-0.1092,0.0312,-0.975;
-0.1248,0.0312,-0.9828;
-0.1092,0.0468,-0.9984;
-0.1092,0.0468,-0.9984;
-0.1404,0.0546,-0.9984;
-0.1092,0.0468,-0.9984;
-0.1014,0.0468,-0.936;
-0.1248,0.0468,-0.9828;
-0.1092,0.0468,-0.9984;
-0.1326,0.0624,-0.9984;
-0.1092,0.0468,-0.9984;
-0.1248,0.0312,-0.9984;
-0.1014,0.0468,-0.9984;
-0.117,0.0468,-0.9984;
-0.1092,0.0468,-0.9984;
-0.1248,0.0312,-1.0218;
-0.117,0.0468,-0.9906;
-0.1092,0.0468,-0.975;
-0.117,0.039,-0.9984;
-0.117,0.039,-0.9906;
-0.1092,0.0312,-0.9984;
-0.1326,0.0468,-0.9984;
-0.1248,0.0312,-0.9984;
-0.1248,0.0468,-0.9984;
-0.1326,0.0468,-0.975;
-0.117,0.0312,-0.9984;
-0.117,0.0624,-0.9984;
-0.1248,0.0312,-0.9984;
-0.117,0.039,-0.9984;
-0.1092,0.0468,-0.9984;
-0.117,0.0468,-0.9984;
-0.1248,0.0468,-1.0452;
-0.117,0.0702,-0.9906;
-0.1248,0.0468,-0.9984;
-0.1092,0.0468,-0.9906;
-0.1248,0.0468,-0.9906;
-0.117,0.0312,-0.9984;
-0.1326,0.0468,-0.9984;
-0.1092,0.039,-0.9828;
-0.1014,0.0624,-0.9984;
-0.1014,0.0468,-0.9984;
-0.0936,0.0468,-0.9984;
-0.117,0.0468,-0.9984;
-0.117,0.0312,-0.9984;
-0.078,0.0312,-0.9984;
-0.1014,0.0312,-0.9984;
-0.117,0.0468,-0.9984;
-0.1248,0.0468,-0.9984;
-0.1092,0.0468,-0.9984;
-0.1092,0.039,-0.9984;
-0.117,0.0624,-0.9984;
-0.1092,0.0312,-1.0374;
-0.1248,0.0624,-0.9906;
-0.117,0.0624,-0.9984;
-0.117,0.0624,-0.9984;
-0.117,0.0468,-0.9984;
-0.117,0.039,-0.9906;
-0.1248,0.0312,-0.9984;
-0.117,0.0312,-0.9984;
-0.1014,0.039,-0.9984;
-0.1092,0.0312,-0.9984;
-0.1248,0.0468,-0.9906;
-0.117,0.0624,-0.9984;
-0.1014,0.0468,-0.9984;
-0.117,0.039,-0.9828;
-0.1014,0.039,-0.975;
-0.117,0.039,-0.9984;
-0.1092,0.0312,-0.9984;
-0.1092,0.0468,-0.9984;
-0.117,0.039,-0.9984;
-0.117,0.0624,-0.9984;
-0.1248,0.039,-0.9984;
-0.1014,0.039,-0.9984;
-0.117,0.039,-1.0374;
-0.1248,0.0312,-0.9984;
-0.117,0.0468,-1.0296;
-0.1248,0.0468,-0.9984;
-0.1092,0.0468,-0.9984;
-0.117,0.039,-0.9984;
-0.1326,0.0624,-0.9984;
-0.1248,0.0546,-0.9828;
-0.1248,0.0312,-0.9984;
-0.117,0.039,-0.9828;
-0.1092,0.0312,-0.9906;
-0.1014,0.0468,-0.9984;
-0.1014,0.0312,-0.9984;
-0.117,0.0546,-0.9984;
-0.1092,0.039,-0.9984;
-0.1248,0.0624,-0.9984;
-0.1092,0.0468,-0.9984;
-0.1248,0.0312,-0.975;
-0.1248,0.0702,-1.0764;
-0.1326,0.0468,-0.9984;
-0.1404,0.0624,-1.0296;
-0.1248,0.0468,-0.9984;
-0.1248,0.0624,-0.975;
-0.1092,0.0468,-0.9984;
-0.1092,0.0312,-0.9672;
-0.1014,0.0468,-0.9984;
-0.1014,0.0312,-0.9984;
-0.1248,0.0624,-0.9984;
-0.1248,0.039,-0.9828;
-0.1248,0.0312,-0.9984;
-0.117,0.0312,-0.9984;
-0.117,0.0468,-0.9906;
-0.1092,0.039,-0.9984;
-0.117,0.0546,-0.9906;
-0.117,0.0468,-0.9984;
-0.0936,0.039,-0.9984;
-0.117,0.0312,-0.9984;
-0.117,0.0312,-0.9984;
-0.117,0.0624,-0.9438;
-0.1014,0.0312,-0.9984;
-0.117,0.039,-0.9984;
-0.1326,0.0468,-1.0218;
-0.117,0.0468,-0.9828;
-0.1014,0.0312,-0.9984;
-0.1092,0.0312,-0.9672;
-0.1248,0.039,-0.9984;
-0.117,0.0624,-0.9828;
-0.117,0.0624,-0.9984;
-0.1092,0.039,-0.9828;
-0.1014,0.039,-0.9984;
-0.117,0.0312,-0.9984;
-0.117,0.0312,-0.9126;
-0.117,0.0312,-0.9984;
-0.1014,0.0624,-0.9126;
-0.117,0.0156,-1.0218;
-0.117,0.0468,-0.9906;
-0.0936,0.0312,-0.9984;
-0.1248,0.0312,-0.9984;
-0.117,0.0624,-0.9984;
-0.1092,0.039,-0.9984;
-0.117,0.0624,-0.9984;
-0.1326,0.0624,-0.9984;
-0.117,0.0312,-0.9984;
-0.117,0.0468,-0.9984;
-0.117,0.0624,-0.9672;
-0.1404,0.0624,-0.9984;
-0.117,0.039,-0.9906;
-0.117,0.039,-0.9984;
-0.1092,0.0312,-0.9906;
-0.1248,0.0468,-0.9828;
-0.117,0.0624,-0.9984;
-0.1326,0.0624,-0.9984;
-0.1092,0.0312,-0.9984;
-0.117,0.0624,-0.9984;
-0.1092,0.0312,-0.9516;
-0.1248,0.0624,-1.0374;
-0.1326,0.0468,-0.9984;
-0.1248,0.0468,-0.9984;
-0.1248,0.039,-0.9984;
-0.117,0.0468,-0.9984;
-0.117,0.039,-0.975;
-0.117,0.0624,-1.0296;
-0.1248,0.0312,-0.9984;
-0.117,0.0234,-0.9984;
-0.1092,0.0312,-0.9984;
-0.0936,0.0624,-0.9984;
-0.117,0.0468,-0.9906;
-0.1248,0.0468,-0.9984;
-0.1092,0.0468,-0.9906;
-0.117,0.0624,-0.9984;
-0.1092,0.0624,-0.9984;
-0.1248,0.0624,-0.975;
-0.1092,0.0312,-0.9984;
-0.1092,0.0624,-1.0296;
-0.0858,0.0468,-0.9984;
-0.1092,0.0312,-0.9984;
-0.1092,0.0468,-0.9984;
-0.117,0.0624,-0.9984;
-0.1092,0.0312,-0.9906;
-0.1248,0.0624,-1.0296;
-0.1248,0.0624,-0.9984;
-0.117,0.0468,-0.9984;
-0.117,0.0624,-0.9984;
-0.1092,0.0468,-0.9984;
-0.1092,0.0312,-0.9984;
-0.1092,0.0468,-0.9906;
-0.1092,0.0468,-0.9984;
-0.1092,0.0468,-0.9984;
-0.1248,0.0468,-0.9984;
-0.1092,0.0312,-0.9906;
-0.1092,0.0468,-0.9984;
-0.1092,0.0624,-0.9984;
-0.117,0.039,-0.9828;
-0.1092,0.039,-0.9984;
-0.1404,0.0156,-0.9984;
-0.1248,0.039,-0.9984;
-0.1092,0.0312,-0.9984;
-0.1248,0.0468,-1.0296;
-0.1248,0.0468,-0.9984;
-0.1248,0.0546,-1.014;
-0.1326,0.0468,-0.9984;
-0.1248,0.0468,-0.9984;
-0.1092,0.0468,-0.9984;
-0.117,0.0312,-0.975;
-0.1248,0.0624,-0.9828;
-0.1326,0.0468,-0.9984;
-0.1248,0.0312,-0.9984;
-0.1248,0.0234,-0.9984;
-0.117,0.039,-0.9984;
-0.1014,0.0312,-0.9984;
-0.1092,0.039,-0.9984;
-0.1014,0.039,-0.9984;
-0.1092,0.0312,-0.9984;
-0.117,0.0624,-0.9984;
-0.1248,0.0468,-0.9984;
-0.1248,0.0468,-0.9984;
-0.117,0.0546,-0.9984;
-0.1248,0.0468,-0.9984;
-0.117,0.0624,-1.0452;
-0.117,0.0624,-0.9828;
-0.1248,0.0624,-1.0296;
-0.1248,0.0546,-0.9984;
-0.1014,0.0468,-0.9984;
-0.1014,0.039,-0.9828;
-0.1014,0.0468,-0.9984;
-0.1248,0.0468,-0.9984;
-0.1092,0.0234,-0.9984;
-0.1014,0.0312,-0.9984;
-0.1092,0.0312,-0.9828;
-0.1092,0.039,-0.9906;
-0.1092,0.0468,-0.9984;
-0.1092,0.0312,-0.9984;
-0.1248,0.078,-0.9984;
-0.117,0.0546,-0.9984;
-0.117,0.0468,-0.9984;
-0.117,0.0624,-0.9984;
-0.117,0.0624,-0.9984;
-0.1092,0.0312,-0.9828;
-0.117,0.0312,-1.0218;
-0.117,0.0624,-0.9984;
-0.1092,0.0312,-0.9984;
-0.1248,0.0468,-0.9906;
-0.117,0.0468,-1.0062;
-0.1248,0.0468,-0.9984;
-0.117,0.0468,-0.9984;
-0.117,0.0624,-0.9984;
-0.1092,0.0624,-0.9828;
-0.1014,0.039,-0.9984;
-0.1014,0.0234,-0.9828;
-0.1248,0.039,-0.9984;
-0.1248,0.0468,-0.9984;
-0.117,0.0624,-0.9828;
-0.1248,0.0468,-0.9906;
-0.1092,0.0468,-0.9984;
-0.117,0.0624,-1.0296;
-0.1092,0.039,-0.9984;
-0.117,0.0468,-0.9984;
-0.1404,0.0468,-0.9984;
-0.1092,0.0468,-0.9984;
-0.0936,0.0312,-0.975;
-0.117,0.0468,-1.0296;
-0.1092,0.0624,-0.9984;
-0.1092,0.0468,-0.9984;
-0.117,0.0624,-1.0296;
-0.1014,0.0468,-0.975;
-0.117,0.039,-0.9984;
-0.1092,0.0468,-0.9828;
-0.1092,0.0546,-0.9984;
-0.117,0.0624,-0.9984;
-0.1092,0.039,-0.9984;
-0.117,0.0312,-0.9984;
-0.1092,0.0468,-0.9984;
-0.1248,0.0468,-0.9984;
-0.1248,0.0468,-0.9984;
-0.1326,0.0312,-0.9984;
-0.117,0.0312,-0.9906;
-0.117,0.0468,-0.9984;
-0.117,0.0468,-0.9984;
-0.1248,0.0312,-0.9984;
-0.1248,0.0468,-0.9906;
-0.1092,0.0468,-0.9984;
-0.1092,0.0468,-0.9984;
-0.1092,0.0234,-0.975;
-0.1248,0.039,-0.9984;
-0.1092,0.0546,-0.975;
-0.1014,0.039,-0.9984;
-0.1014,0.0624,-0.9906;
-0.117,0.0468,-0.9984;
-0.1092,0.0312,-0.9984;
-0.1092,0.0156,-0.9438;
-0.1014,0.039,-0.9984;
-0.1092,0.0234,-0.9984;
-0.1014,0.0624,-0.9828;
-0.1092,0.0468,-0.9828;
-0.1014,0.0468,-0.9984;
-0.1092,0.0546,-0.9984;
-0.1248,0.0624,-0.9984;
-0.1248,0.039,-0.9984;
-0.1326,0.0468,-1.0374;
-0.117,0.039,-1.0374;
-0.117,0.0468,-0.9984;
-0.1248,0.0312,-0.9984;
-0.117,0.0468,-0.9906;
-0.117,0.0624,-0.9984;
-0.117,0.0624,-0.9984;
-0.117,0.0468,-1.0218;
-0.117,0.0468,-0.9984;
-0.1014,0.039,-0.9906;
-0.1092,0.0624,-0.9984;
-0.117,0.0468,-1.0296;
-0.1092,0.0312,-0.9984;
-0.1248,0.0624,-0.9984;
-0.1092,0.0312,-0.9984;
-0.1248,0.0468,-0.9984;
-0.117,0.0312,-0.9984;
-0.1248,0.0624,-0.9984;
-0.117,0.0312,-0.9984;
-0.1092,0.039,-0.9984;
-0.117,0.0468,-0.9984;
-0.1092,0.0468,-0.9984;
-0.117,0.0468,-0.9984;
-0.1326,0.0624,-0.9984;
-0.1092,0.0624,-0.975;
-0.1326,0.0468,-0.9984;
-0.1014,0.0468,-0.9984;
-0.1248,0.0312,-0.9984;
-0.1092,0.0156,-0.9984;
-0.1248,0.039,-0.9984;
-0.1248,0.0468,-0.9828;
-0.1014,0.0468,-0.9984;
-0.1014,0.0468,-0.9828;
-0.1092,0.0312,-0.9984;
-0.117,0.0468,-0.9984;
-0.1248,0.0468,-0.9984;
-0.1248,0.0702,-0.9984;
-0.1014,0.0312,-0.9984;
-0.117,0.0624,-0.9984;
-0.117,0.0468,-0.9984;
-0.117,0.0468,-0.9984;
-0.1248,0.0468,-0.9984;
-0.1092,0.039,-0.9984;
-0.1092,0.0312,-1.0452;
-0.1092,0.039,-0.9984;
-0.1326,0.0312,-0.9984;
-0.1092,0.0312,-0.9984;
-0.1014,0.0624,-0.9984;
-0.1092,0.039,-0.9984;
-0.117,0.0624,-0.9906;
-0.117,0.0468,-0.9984;
-0.117,0.039,-0.9438;
-0.1248,0.0468,-0.9984;
-0.1326,0.0468,-0.9906;
-0.117,0.0312,-0.9984;
-0.1092,0.0468,-0.9906;
-0.1248,0.0468,-0.9984;
-0.1248,0.0624,-0.9984;
-0.1092,0.0624,-0.9984;
-0.1326,0.0624,-1.0296;
-0.1014,0.039,-0.975;
-0.1092,0.0468,-0.9984;
-0.1248,0.0468,-0.9828;
-0.1248,0.0624,-0.9984;
-0.0936,0.0312,-1.0374;
-0.117,0.0624,-0.9984;
-0.1092,0.0312,-0.9984;
-0.1248,0.0468,-0.9984;
-0.117,0.039,-0.9984;
-0.1404,0.0624,-0.9984;
-0.1014,0.0468,-0.9906;
-0.1248,0.0468,-0.9906;
-0.1248,0.0624,-0.9984;
-0.1014,0.0468,-0.9984;
-0.1248,0.0624,-0.9984;
-0.1092,0.0624,-0.9828;
-0.1092,0.0468,-0.9984;
-0.0936,0.0234,-0.9984;
-0.1248,0.0468,-0.9906;
-0.117,0.0468,-0.9984;
-0.1092,0.0468,-1.0218;
-0.117,0.0468,-0.9984;
-0.1326,0.0468,-1.0374;
-0.1014,0.0312,-0.9984;
-0.1092,0.0312,-0.9984;
-0.1092,0.039,-0.9984;
-0.117,0.0312,-0.975;
-0.1092,0.0312,-0.9984;
-0.1092,0.0312,-0.9984;
-0.1092,0.0624,-0.9828;
-0.1326,0.039,-0.9984;
-0.1248,0.0546,-0.9984;
-0.0936,0.039,-0.9984;
-0.1092,0.0468,-0.9984;
-0.1404,0.0624,-0.9906;
-0.117,0.0312,-0.9984;
-0.1014,0.0546,-0.9984;
-0.1092,0.0312,-1.0296;
-0.1092,0.0468,-0.9984;
-0.1248,0.0624,-0.9984;
-0.117,0.0468,-1.0374;
-0.1014,0.0624,-0.9984;
-0.1248,0.0312,-0.9984;
-0.1092,0.0546,-0.9984;
-0.1092,0.0468,-0.9984;
-0.1248,0.0468,-0.9984;
-0.1092,0.039,-0.9984;
-0.117,0.039,-0.9984;
-0.1014,0.0312,-0.9984;
-0.0936,0.0312,-0.9984;
-0.1248,0.0468,-0.975;
-0.1092,0.0468,-0.9984;
-0.117,0.039,-0.9984;
-0.1092,0.0312,-0.9984;
-0.1092,0.0468,-0.9906;
-0.117,0.0468,-0.9984;
-0.1248,0.0468,-0.9984;
-0.117,0.0468,-0.9984;
-0.1248,0.0312,-1.0218;
-0.1248,0.0624,-0.9828;
-0.1248,0.0624,-0.9984;
-0.1092,0.0624,-0.9984;
-0.117,0.0468,-0.9828;
-0.1092,0.0312,-0.9906;
-0.1092,0.0312,-0.9984;
-0.1014,0.0468,-0.9984;
-0.1248,0.0468,-0.9672;
-0.1092,0.0312,-0.9984;
-0.117,0.0624,-0.9984;
-0.1404,0.0624,-0.9906;
-0.1014,0.039,-0.9828;
-0.1248,0.0468,-0.9984;
-0.1092,0.0468,-0.9984;
-0.117,0.0624,-0.9984;
-0.1248,0.0624,-0.9984;
-0.1092,0.0468,-0.9984;
-0.1092,0.0468,-0.9282;
-0.1248,0.039,-0.9984;
-0.1092,0.0468,-0.936;
-0.1326,0.039,-0.9984;
-0.1326,0.0624,-0.9984;
-0.1248,0.0468,-0.9672;
-0.1092,0.0312,-0.9984;
-0.1326,0.0468,-1.0296;
-0.1092,0.0312,-0.9984;
-0.1326,0.039,-1.0296;
-0.1092,0.0468,-0.9828;
-0.1326,0.039,-0.9984;
-0.1092,0.0468,-0.9984;
-0.1248,0.0312,-0.9984;
-0.1014,0.0312,-0.9984;
-0.1248,0.0624,-0.9984;
-0.0936,0.039,-0.9984;
-0.1014,0.039,-0.9984;
-0.1092,0.0156,-0.9984;
-0.1248,0.0312,-0.9984;
-0.1326,0.0624,-0.9984;
-0.117,0.0624,-0.9984;
-0.1092,0.0468,-0.9984;
-0.1092,0.0312,-0.9984;
-0.117,0.0468,-0.9984;
-0.1248,0.0546,-0.9984;
-0.1248,0.0312,-0.9828;
-0.1092,0.039,-1.053;
-0.1326,0.0624,-0.9984;
-0.117,0.039,-0.9984;
-0.1404,0.0624,-0.9984;
-0.117,0.0312,-0.9984;
-0.1092,0.0312,-0.9906;
-0.1092,0.0624,-1.0218;
-0.1014,0.0468,-0.9984;
-0.1092,0.0468,-0.9984;
-0.117,0.0468,-0.9984;
-0.117,0.0624,-0.9984;
-0.1092,0.0312,-0.9048;
-0.1014,0.0546,-0.9984;
-0.1092,0.0624,-0.9984;
-0.1092,0.0468,-0.9984;
-0.117,0.0312,-0.9828;
-0.1248,0.0312,-0.9984;
-0.1092,0.0312,-0.9906;
-0.1248,0.0468,-1.0374;
-0.117,0.0468,-0.9906;
-0.1326,0.0468,-0.9984;
-0.117,0.039,-0.9984;
-0.1248,0.0468,-0.9984;
-0.117,0.0624,-0.9984;
-0.1092,0.0468,-0.9906;
-0.1248,0.0468,-0.9906;
-0.117,0.0546,-0.9984;
-0.1326,0.0624,-0.9984;
-0.117,0.0312,-0.9906;
-0.0936,0.039,-0.9906;
-0.1248,0.0624,-1.053;
-0.117,0.0312,-0.9984;
-0.1092,0.0468,-0.9906;
-0.1092,0.039,-0.9984;
-0.1248,0.0468,-1.0296;
-0.1014,0.0468,-0.9906;
-0.117,0.039,-0.9984;
-0.1248,0.0468,-0.9984;
-0.117,0.039,-0.9984;
-0.117,0.0624,-0.9984;
-0.1014,0.0312,-0.9984;
-0.1248,0.039,-0.975;
-0.0936,0.0312,-0.9984;
-0.1092,0.0312,-0.9984;
-0.1092,0.0312,-0.9906;
-0.1014,0.0312,-0.9984;
-0.1092,0.0468,-0.975;
-0.1092,0.0624,-0.975;
-0.1404,0.0624,-0.9984;
-0.0936,0.0312,-0.9984;
-0.1014,0.0312,-0.9828;
-0.1014,0.0468,-0.9984;
-0.1248,0.0624,-0.975;
-0.1014,0.0312,-0.9984;
-0.117,0.0624,-0.9984;
-0.1092,0.0468,-0.9984;
-0.1326,0.0624,-0.9984;
-0.117,0.0624,-1.0218;
-0.1248,0.0546,-0.9984;
-0.117,0.0624,-0.975;
-0.117,0.0312,-0.9984;
-0.1092,0.0312,-0.9984;
-0.117,0.0624,-0.9984;
-0.1014,0.039,-0.9984;
-0.1092,0.0468,-0.9984;
-0.1248,0.0702,-0.9906;
-0.117,0.039,-0.9984;
-0.1092,0.0312,-0.9906;
-0.1092,0.039,-0.9984;
-0.117,0.0468,-0.9984;
-0.1248,0.0312,-0.9984;
-0.117,0.0624,-0.9984;
-0.1092,0.0624,-0.9984;
-0.1092,0.0312,-0.9906;
-0.117,0.0546,-0.9906;
-0.1404,0.0702,-0.9984;
-0.1014,0.039,-0.9906;
-0.1092,0.0624,-0.9984;
-0.1248,0.0624,-0.9984;
-0.1482,0.0624,-1.0374;
-0.117,0.039,-0.9984;
-0.1014,0.039,-0.9984;
-0.117,0.0624,-0.9984;
-0.117,0.0468,-0.9984;
-0.1248,0.0624,-0.9906;
-0.1092,0.0234,-0.9906;
-0.117,0.0312,-0.9984;
-0.1248,0.0468,-0.9906;
-0.117,0.0468,-0.9984;
-0.1014,0.0468,-0.9906;
-0.117,0.0312,-0.9984;
-0.1092,0.0468,-0.9984;
-0.1248,0.0624,-0.9984;
-0.1014,0.0312,-0.9984;
-0.1092,0.0624,-0.9984;
-0.1014,0.0468,-1.0218;
-0.1248,0.0468,-0.9984;
-0.1248,0.0468,-1.0296;
-0.117,0.0468,-0.975;
-0.1014,0.0312,-0.9984;
-0.1326,0.0468,-0.9906;
-0.1014,0.0624,-0.9906;
-0.1326,0.0624,-0.9984;
-0.1092,0.0312,-0.9984;
-0.1092,0.0312,-0.975;
-0.1092,0.0624,-0.9828;
-0.117,0.0468,-0.9984;
-0.1248,0.039,-0.9672;
-0.0936,0.0312,-0.9984;
-0.1248,0.0624,-0.9906;
-0.1092,0.0468,-0.9984;
-0.1092,0.0312,-0.9984;
-0.1248,0.0624,-0.9906;
-0.117,0.0624,-0.9984;
-0.1014,0.0468,-0.9828;
-0.1248,0.0546,-1.0218;
-0.1014,0.039,-0.9984;
-0.1014,0.0468,-0.9984;
-0.1248,0.0468,-0.9984;
-0.1092,0.0624,-0.9984;
-0.1248,0.0468,-0.9984;
-0.117,0.0468,-0.9906;
-0.1014,0.0468,-0.9906;
-0.1092,0.0312,-0.9984;
-0.117,0.039,-1.0296;
-0.1326,0.0624,-0.9984;
-0.1404,0.0468,-0.9984;
-0.1248,0.0468,-0.9984;
-0.1092,0.0468,-0.9984;
-0.1248,0.0312,-0.9984;
-0.1092,0.0312,-0.9984;
-0.117,0.0624,-0.975;
-0.1014,0.0468,-0.9984;
-0.1248,0.0468,-0.9984;
